Detector;Descriptor;Image No;Detection Time;Matched Keys;Avg. NBH. dist.;Descriptor ext. time
SHITOMASI;BRIEF;image1;40.958563;125;4.000000;1.511468;
SHITOMASI;BRIEF;image2;59.542480;118;4.000000;9.514090;
SHITOMASI;BRIEF;image3;34.246967;123;4.000000;2.412343;
SHITOMASI;BRIEF;image4;26.960104;120;4.000000;2.365777;
SHITOMASI;BRIEF;image5;23.247900;120;4.000000;2.244190;
SHITOMASI;BRIEF;image6;24.444686;113;4.000000;2.334468;
SHITOMASI;BRIEF;image7;23.654945;114;4.000000;2.267456;
SHITOMASI;BRIEF;image8;38.440689;123;4.000000;2.390133;
SHITOMASI;BRIEF;image9;23.043107;111;4.000000;2.035432;
SHITOMASI;BRIEF;image10;23.695467;112;4.000000;2.127886;
SHITOMASI;ORB;image1;21.922852;125;4.000000;1.958348;
SHITOMASI;ORB;image2;26.226414;118;4.000000;1.575124;
SHITOMASI;ORB;image3;22.938092;123;4.000000;1.638429;
SHITOMASI;ORB;image4;23.377742;120;4.000000;1.964413;
SHITOMASI;ORB;image5;22.961555;120;4.000000;1.869169;
SHITOMASI;ORB;image6;21.890255;113;4.000000;2.096442;
SHITOMASI;ORB;image7;23.888468;114;4.000000;1.857207;
SHITOMASI;ORB;image8;23.111146;123;4.000000;1.851770;
SHITOMASI;ORB;image9;36.128587;111;4.000000;2.877913;
SHITOMASI;ORB;image10;31.179105;112;4.000000;8.367505;
SHITOMASI;FREAK;image1;27.137708;125;4.000000;84.458311;
SHITOMASI;FREAK;image2;32.174273;118;4.000000;70.900081;
SHITOMASI;FREAK;image3;22.929268;123;4.000000;75.714313;
SHITOMASI;FREAK;image4;27.314178;120;4.000000;68.920689;
SHITOMASI;FREAK;image5;17.075091;120;4.000000;68.185332;
SHITOMASI;FREAK;image6;21.107646;113;4.000000;66.327031;
SHITOMASI;FREAK;image7;17.182663;114;4.000000;72.645286;
SHITOMASI;FREAK;image8;20.738757;123;4.000000;69.626837;
SHITOMASI;FREAK;image9;18.201171;111;4.000000;65.209473;
SHITOMASI;FREAK;image10;16.640321;112;4.000000;72.949248;
SHITOMASI;SIFT;image1;18.889825;125;4.000000;26.893327;
SHITOMASI;SIFT;image2;24.236319;118;4.000000;30.020542;
SHITOMASI;SIFT;image3;15.533944;123;4.000000;37.552798;
SHITOMASI;SIFT;image4;27.555613;120;4.000000;23.277158;
